"","sci_name","presence","origin","seasonal","compiler","yrcompiled","citation","dec_lat","dec_long","spatialref","subspecies","subpop","data_sens","sens_comm","event_year","source","basisOfRecord","catalogNumber","recordedBy","recordNumber","dist_comm","tax_comm"
"101","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,-0.101111,34.753889,"WGS84",NA,NA,NA,NA,1981,"LD:General:2050977","PRESERVED_SPECIMEN","2050977","Thomas Landström","General",NA,NA
"102","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,-1.193056,35.251111,"WGS84",NA,NA,NA,NA,1981,"LD:General:2057780","PRESERVED_SPECIMEN","2057780","Thomas Landström","General",NA,NA
"103","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,-1.6125,30.221666,"WGS84",NA,NA,NA,NA,1981,"http://www.botanicalcollections.be/specimen/BR0000008561336","PRESERVED_SPECIMEN","BR0000008561336","Aubroeck M.","BR",NA,NA
"104","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,-1.6,30.05,"WGS84",NA,NA,NA,NA,1980,"http://www.botanicalcollections.be/specimen/BR0000008568649","PRESERVED_SPECIMEN","BR0000008568649","Bridson D.","BR",NA,NA
"105","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,-3.2,30.7,"WGS84",NA,NA,NA,NA,1979,"http://www.botanicalcollections.be/specimen/BR0000008568250","PRESERVED_SPECIMEN","BR0000008568250","Reekmans M.","BR",NA,NA
"106","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,-0.616667,34.95,"WGS84",NA,NA,NA,NA,1978,"https://data.biodiversitydata.nl/naturalis/specimen/WAG.1280662","PRESERVED_SPECIMEN","WAG.1280662","Plaizier AC","Botany",NA,NA
"107","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,23.343139,69.266894,"WGS84",NA,NA,NA,NA,1978,"BARO:Angiosperm:123450015728","PRESERVED_SPECIMEN","1.23E+11","KSS Rao","Angiosperm",NA,NA
"108","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,-3.416667,30.35,"WGS84",NA,NA,NA,NA,1978,"http://www.botanicalcollections.be/specimen/BR0000008568588","PRESERVED_SPECIMEN","BR0000008568588","Reekmans M.","BR",NA,NA
"109","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,0.35,29.783333,"WGS84",NA,NA,NA,NA,1977,"http://www.botanicalcollections.be/specimen/BR0000008568458","PRESERVED_SPECIMEN","BR0000008568458","Lejoly J.","BR",NA,NA
"110","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,-4.75,38.5,"WGS84",NA,NA,NA,NA,1976,"TanBIF:TAFORI-LSRC:ACANTH:CHS:340","PRESERVED_SPECIMEN","ACANTH:CHS:340","Christina Schlage","ACANTHACEAE",NA,NA
"111","Justicia dinteri",NA,NA,NA,NA,NA,NA,-17.633333,24.183333,"WGS84",NA,NA,NA,NA,1975,"https://data.biodiversitydata.nl/naturalis/specimen/WAG.1280668","PRESERVED_SPECIMEN","WAG.1280668","Edwards D","Botany",NA,NA
"112","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,-18.75,21.75,"WGS84",NA,NA,NA,NA,1975,"https://data.biodiversitydata.nl/naturalis/specimen/WAG.1280665","PRESERVED_SPECIMEN","WAG.1280665","Biegel HM; Müller H; Gibbs Russell GE","Botany",NA,NA
"113","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,-20.616667,17.116667,"WGS84",NA,NA,NA,NA,1974,"https://data.biodiversitydata.nl/naturalis/specimen/WAG.1280666","PRESERVED_SPECIMEN","WAG.1280666","Merxmüller H; Giess JWH","Botany",NA,NA
"114","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,-20.616667,17.116667,"WGS84",NA,NA,NA,NA,1974,"https://data.biodiversitydata.nl/naturalis/specimen/WAG.1280667","PRESERVED_SPECIMEN","WAG.1280667","Merxmüller H; Giess JWH","Botany",NA,NA
"115","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,-2.183333,29.266667,"WGS84",NA,NA,NA,NA,1974,"http://www.botanicalcollections.be/specimen/BR0000008561541","PRESERVED_SPECIMEN","BR0000008561541","Nuyt C.","BR",NA,NA
"116","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,0.933333,37.316667,"WGS84",NA,NA,NA,NA,1974,"https://data.biodiversitydata.nl/naturalis/specimen/WAG.1280678","PRESERVED_SPECIMEN","WAG.1280678","Faden RB; Faden AJ","Botany",NA,NA
"117","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,-0.633333,29.566667,"WGS84",NA,NA,NA,NA,1974,"http://www.botanicalcollections.be/specimen/BR0000008568120","PRESERVED_SPECIMEN","BR0000008568120","d'Huart J-P.","BR",NA,NA
"118","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,-0.616667,34.15,"WGS84",NA,NA,NA,NA,1974,"https://data.biodiversitydata.nl/naturalis/specimen/WAG.1280682","PRESERVED_SPECIMEN","WAG.1280682","Vuyk D; Breteler FJ","Botany",NA,NA
"119","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,-2.05,29.35,"WGS84",NA,NA,NA,NA,1972,"http://www.botanicalcollections.be/specimen/BR0000008569066","PRESERVED_SPECIMEN","BR0000008569066","Bouxin G.","BR",NA,NA
"120","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,-3.816667,30.066667,"WGS84",NA,NA,NA,NA,1972,"http://www.botanicalcollections.be/specimen/BR0000008568915","PRESERVED_SPECIMEN","BR0000008568915","Reekmans M.","BR",NA,NA
"121","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,-3.066667,29.45,"WGS84",NA,NA,NA,NA,1971,"http://www.botanicalcollections.be/specimen/BR0000008561398","PRESERVED_SPECIMEN","BR0000008561398","Reekmans M.","BR",NA,NA
"122","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,-3.083333,29.4,"WGS84",NA,NA,NA,NA,1971,"http://www.botanicalcollections.be/specimen/BR0000008568502","PRESERVED_SPECIMEN","BR0000008568502","Lewalle J.","BR",NA,NA
"123","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,-2.1,29.75,"WGS84",NA,NA,NA,NA,1970,"http://www.botanicalcollections.be/specimen/BR0000008561442","PRESERVED_SPECIMEN","BR0000008561442","Bouxin G. & Radoux M.","BR",NA,NA
"124","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,-2.383333,30.2,"WGS84",NA,NA,NA,NA,1970,"http://www.botanicalcollections.be/specimen/BR0000008568434","PRESERVED_SPECIMEN","BR0000008568434","Bouxin G. & Radoux M.","BR",NA,NA
